::1 - - [09/Sep/2024:17:13:59 +0000] "GET / HTTP/1.1" 404 139 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
::1 - - [09/Sep/2024:17:31:14 +0000] "POST /auth/signup HTTP/1.1" 404 151 "-" "PostmanRuntime/7.41.1"
::1 - - [09/Sep/2024:17:31:35 +0000] "POST /auth/signUp HTTP/1.1" 404 151 "-" "PostmanRuntime/7.41.1"
::1 - - [09/Sep/2024:17:32:13 +0000] "POST /auth/signUp HTTP/1.1" 404 151 "-" "PostmanRuntime/7.41.1"
::1 - - [09/Sep/2024:17:33:05 +0000] "POST /auth/signUp HTTP/1.1" 404 151 "-" "PostmanRuntime/7.41.1"
::1 - - [09/Sep/2024:17:34:06 +0000] "POST /auth/signUp HTTP/1.1" 404 151 "-" "PostmanRuntime/7.41.1"
::1 - - [09/Sep/2024:17:34:49 +0000] "POST /auth/signUp HTTP/1.1" 404 151 "-" "PostmanRuntime/7.41.1"
::1 - - [09/Sep/2024:17:36:24 +0000] "POST /auth/signUp HTTP/1.1" 404 151 "-" "PostmanRuntime/7.41.1"
::1 - - [09/Sep/2024:18:42:43 +0000] "GET /auth/login HTTP/1.1" 404 149 "-" "PostmanRuntime/7.41.1"
::1 - - [28/Sep/2024:09:39:39 +0000] "POST /admin/addfood HTTP/1.1" 404 153 "-" "PostmanRuntime/7.41.2"
::1 - - [28/Sep/2024:09:40:09 +0000] "POST /admin/addfood HTTP/1.1" 404 153 "-" "PostmanRuntime/7.41.2"
